13,4
16,7
12,6
12,5
9,3
10,4
13,4
13,2
11,4
12,5
11,4
8,5
11,6
9,5
13,5
11,5
11,3
13,2
9,2
12,2
11,2
11,2
10,2
9,4
8,3
8,3
9,3
8,3
4,4
8,3
6,0
5,2
6,2
5,0
3,1
2,2
3,1
5,3
4,1
5,3
7,1
7,0
1,0
1,0
8,0
7,5
3,4
1,3
4,1
5,0
7,1
2,1
2,3
3,2
3,1
2,0
2,1
3,2
7,4
8,3
7,1
9,2
9,1
10,2
9,2
9,2
7,1
8,0
7,2
6,0
6,0
3,2
3,1
3,2
4,2
6,1
9,2
3,1
3,2
3,0
2,0
2,1
3,0
6,0
4,1
7,2
4,2
3,0
2,1
2,0
6,1
4,0
4,1
13,2
12,4
13,4
12,4
13,4
11,5
12,4
15,1
14,1
14,1
14,1
11,2
4,3
3,4
5,4
5,3
4,3
5,0
6,0
4,0
1,1
3,3
1,0
11,0
13,0
9,1
7,0
12,1
11,2
12,1
13,2
14,1
15,0
14,0
15,1
14,1
15,3
18,3
15,3
18,4
16,2
14,3
14,3
14,3
9,1
7,1
11,1
11,1
11,1
9,4
12,5
10,1
5,2
3,2
5,2
5,0
6,0
4,0
1,1
3,3
11,0
13,0
9,1
12,1
11,2
12,1
13,2
14,1
15,0
14,0
15,1
14,1
15,3
18,3
15,3
18,4
16,2
14,3
14,3
14,3
14,3
14,2
17,4
16,4
12,4
14,3
13,2
12,4
13,3
11,2
13,3
14,3
15,3
16,4
16,2
16,2
17,2
19,2
18,1
21,2
16,3
20,2
21,1
19,4
16,1
16,3
18,2
16,2
16,2
19,2
19,3
17,4
20,5
19,3
23,3
20,2
24,2
21,3
22,2
21,0
17,1
16,1
21,1
17,1
15,0
16,0
15,0
10,0
9,0
10,0
6,0
7,1
7,0
7,0
6,0
7,0
5,0
4,1
6,0
6,0
7,1
7,2
13,1
16,1
13,1
17,1
16,2
15,2
16,1
16,0
15,0
17,1
14,1
15,1
19,2
18,1
17,1
19,1
17,1
16,1
15,1
16,3
19,2
20,1
18,1
12,1
15,1
13,1
15,0
11,0
14,1
14,0
16,0
16,0
16,1
17,1
13,1
9,0
11,0
14,0
11,1
13,2
13,2
13,2
14,1
12,2
11,2
11,3
5,2
6,1
5,0
2,0
6,2
6,1
4,2
4,0
3,4
6,1
5,1
6,2
7,1
4,0
5,0
4,1
10,1
7,1
6,1
10,0
8,1
6,2
15,3
14,5
13,4
16,7
12,6
12,5
10,6
9,3
10,4
13,4
13,2
11,4
12,5
11,4
8,5
11,6
9,5
13,5
11,5
11,3
13,2
9,2
12,2
11,2
11,2
10,2
9,4
8,3
8,3
9,3
8,3
4,4
8,3
6,0
5,2
6,2
5,0
3,1
2,2
3,1
5,3
4,1
5,3
7,1
7,0
1,0
1,0
8,0
7,5
3,4
1,3
4,1
5,0
7,1
2,1
2,3
3,2
3,1
2,0
2,1
3,2
7,4
8,3
7,1
9,2
9,1
10,2
9,2
9,2
7,1
8,0
7,2
6,0
6,0
3,2
3,1
3,2
4,2
6,1
9,2
3,1
3,2
3,0
2,0
2,1
3,0
6,0
4,1
7,2
4,2
3,0
2,1
2,0
6,1
4,0
4,1
13,2
12,4
13,4
12,4
13,4
11,5
12,4
15,1
14,1
14,1
14,1
11,2
4,3
3,4
5,4
5,3
4,3
2,2
3,3
1,6
5,0
6,1
7,2
10,2
7,0
6,0
7,0
6,1
11,1
11,1
10,2
11,1
8,2
7,3
8,6
9,7
10,2
9,1
8,3
9,2
5,1
11,0
14,1
3,0
7,2
11,4
16,5
15,3
15,2
